Country,latlon,place
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Sweden,"(60.12816100000001, 18.643501)",Sweden
Sweden,"(60.12816100000001, 18.643501)",Sweden
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Sweden,"(60.12816100000001, 18.643501)",Sweden
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
United Kingdom,"(55.378051, -3.435973)",United Kingdom
United States of America,"(37.09024, -95.712891)",United States
Italy,"(41.87194, 12.56738)",Italy
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea
Mexico,"(23.634501, -102.552784)",Mexico
Indian Ocean,"(-33.137551, 81.826172)",Indian Ocean
Indian Ocean,"(-33.137551, 81.826172)",Indian Ocean
Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica
Nicaragua,"(12.865416, -85.207229)",Nicaragua
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
Indonesia,"(-0.789275, 113.921327)",Indonesia
Ireland,"(53.1423672, -7.692053599999999)",Ireland
Russia,"(61.52401, 105.318756)",Russia
Israel,"(31.046051, 34.851612)",Israel
Israel,"(31.046051, 34.851612)",Israel
United States of America,"(37.09024, -95.712891)",United States
Mozambique,"(-18.665695, 35.529562)",Mozambique
Mozambique,"(-18.665695, 35.529562)",Mozambique
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Canada,"(56.130366, -106.346771)",Canada
Finland,"(61.92410999999999, 25.748151)",Finland
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Canada,"(56.130366, -106.346771)",Canada
United States of America,"(37.09024, -95.712891)",United States
Japan,"(36.204824, 138.252924)",Japan
Japan,"(36.204824, 138.252924)",Japan
Indonesia,"(-0.789275, 113.921327)",Indonesia
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea
Canada,"(56.130366, -106.346771)",Canada
Pakistan,"(30.375321, 69.34511599999999)",Pakistan
Bulgaria,"(42.733883, 25.48583)",Bulgaria
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Russia,"(61.52401, 105.318756)",Russia
Puerto Rico,"(18.220833, -66.590149)",Puerto Rico
Finland,"(61.92410999999999, 25.748151)",Finland
Bolivia,"(-16.290154, -63.58865299999999)",Bolivia
Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean
Iceland,"(64.963051, -19.020835)",Iceland
Sierra Leone,"(8.460555, -11.779889)",Sierra Leone
France,"(46.227638, 2.213749)",France
Iceland,"(64.963051, -19.020835)",Iceland
Turkmenistan,"(38.969719, 59.556278)",Turkmenistan
Colombia,"(4.570868, -74.297333)",Colombia
Brazil,"(-14.235004, -51.92528)",Brazil
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
Sudan,"(12.862807, 30.217636)",Sudan
Gambia,"(13.443182, -15.310139)",The Gambia
Latvia,"(56.879635, 24.603189)",Latvia
Panama,"(8.537981, -80.782127)",Panama
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Libya,"(26.3351, 17.228331)",Libya
Italy,"(41.87194, 12.56738)",Italy
Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean
Iceland,"(64.963051, -19.020835)",Iceland
Hungary,"(47.162494, 19.503304)",Hungary
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Norway,"(60.47202399999999, 8.468945999999999)",Norway
Brazil,"(-14.235004, -51.92528)",Brazil
United Kingdom,"(55.378051, -3.435973)",United Kingdom
United Kingdom,"(55.378051, -3.435973)",United Kingdom
Russia,"(61.52401, 105.318756)",Russia
Romania,"(45.943161, 24.96676)",Romania
Nigeria,"(9.081999, 8.675277)",Nigeria
United States of America,"(37.09024, -95.712891)",United States
Nigeria,"(9.081999, 8.675277)",Nigeria
Brazil,"(-14.235004, -51.92528)",Brazil
Malta,"(35.937496, 14.375416)",Malta
Malta,"(35.937496, 14.375416)",Malta
Atlantic Ocean,"(-14.5994134, -28.6731465)",Atlantic Ocean
Malta,"(35.937496, 14.375416)",Malta
South Africa,"(-30.559482, 22.937506)",South Africa
Russia,"(61.52401, 105.318756)",Russia
Iceland,"(64.963051, -19.020835)",Iceland
Greece,"(39.074208, 21.824312)",Greece
Hungary,"(47.162494, 19.503304)",Hungary
Egypt,"(26.820553, 30.802498)",Egypt
Nicaragua,"(12.865416, -85.207229)",Nicaragua
Ethiopia,"(9.145000000000001, 40.489673)",Ethiopia
Ethiopia,"(9.145000000000001, 40.489673)",Ethiopia
South Africa,"(-30.559482, 22.937506)",South Africa
Puerto Rico,"(18.220833, -66.590149)",Puerto Rico
Uzbekistan,"(41.377491, 64.585262)",Uzbekistan
United States of America,"(37.09024, -95.712891)",United States
Malta,"(35.937496, 14.375416)",Malta
Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA"
Spain,"(40.46366700000001, -3.74922)",Spain
Spain,"(40.46366700000001, -3.74922)",Spain
United States of America,"(37.09024, -95.712891)",United States
Greece,"(39.074208, 21.824312)",Greece
Portugal,"(39.39987199999999, -8.224454)",Portugal
China,"(35.86166, 104.195397)",China
United States of America,"(37.09024, -95.712891)",United States
Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea
United States of America,"(37.09024, -95.712891)",United States
Canada,"(56.130366, -106.346771)",Canada
Canada,"(56.130366, -106.346771)",Canada
Sudan,"(12.862807, 30.217636)",Sudan
Romania,"(45.943161, 24.96676)",Romania
Brazil,"(-14.235004, -51.92528)",Brazil
Italy,"(41.87194, 12.56738)",Italy
Tanzania,"(-6.369028, 34.888822)",Tanzania
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
Austria,"(47.516231, 14.550072)",Austria
Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea
Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
Saint Lucia,"(13.909444, -60.978893)",St Lucia
United States of America,"(37.09024, -95.712891)",United States
United States of America,"(37.09024, -95.712891)",United States
Norway,"(60.47202399999999, 8.468945999999999)",Norway
United States of America,"(37.09024, -95.712891)",United States
Egypt,"(26.820553, 30.802498)",Egypt
Egypt,"(26.820553, 30.802498)",Egypt
Australia,"(-25.274398, 133.775136)",Australia
Sierra Leone,"(8.460555, -11.779889)",Sierra Leone
United States of America,"(37.09024, -95.712891)",United States
